Feature,F_Score,P_Value
Soil_Moisture,899.2633555707613,3.7165577194870585e-239
Nitrogen_Level,46.87244197801277,2.519777737075807e-20
Potassium_Level,3.00208737532069,0.05005748693658101
Phosphorus_Level,2.1975625948254107,0.11152149167562818
Humidity,1.250051663808735,0.2868637185915301
Soil_pH,1.1793989989780664,0.30782049740258316
Soil_Temperature,0.42164469540303384,0.6560644550137998
Light_Intensity,0.41723090030987015,0.6589645521668498
Electrochemical_Signal,0.3090079184653453,0.7342335045225002
Chlorophyll_Content,0.17372707214591246,0.84054745853942
Ambient_Temperature,0.07518083909840056,0.927580108799639
